Min,Max,Median,Mean,Point_id,date,Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
-0.17115358,0.0,-0.14602666,-0.083941065,26841826,2018-07-09,0-20 cm,26841826,4.7,5.46,5.2,15.5,,10.8,1.7,49.3,,,1.2,4.0,PT,PT1,PT18,PT181,37.70546324,-8.630849544,10-07-18,185,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.37831247,0.31804878,0.18542828,28542300,2018-06-14,0-20 cm,28542300,4.3,4.62,41.87,21.7,,43.1,2.4,335.8,,,,,ES,ES1,ES11,ES113,42.22526001,-7.898597983,07-06-18,531,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.28444004,0.0,-0.0570514,-0.09097798,28682284,2018-06-14,0-20 cm,28682284,4.7,5.35,16.71,55.4,1,114.2,4.1,224.2,,,,,ES,ES1,ES11,ES113,42.11495355,-7.691005962,08-06-18,667,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.17375256,0.0,-0.09565507,-0.06873181,28721932,2018-07-14,0-20 cm,28721932,6.3,6.71,9.91,5,1,19.7,0.6,129.6,,,,,ES,ES4,ES43,ES431,39.03098603,-6.783998842,14-07-18,268,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.12576118,0.0,-0.08513546,-0.05410417,28901850,2018-06-26,0-20 cm,28901850,6.8,7.14,20.3,9,4,< LOD,1.2,87.1,,,0.5,1.9,ES,ES4,ES43,ES431,38.34255565,-6.398400661,24-06-18,573,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.09934753,0.0,-0.071837336,-0.04625437,28941672,2018-07-16,0-20 cm,28941672,7.3,7.62,15.05,9.1,337,27.8,1.2,491.4,,,,,ES,ES6,ES61,ES612,36.77450891,-5.977236243,14-07-18,118,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.11862745,0.0,-0.09476234,-0.055663746,29021648,2018-07-16,0-20 cm,29021648,7.4,7.71,15.45,6,716,16,1.4,208.8,,,0.4,0.4,ES,ES6,ES61,ES612,36.57656968,-5.840977587,17-07-18,204,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.1625048,0.0,-0.092616946,-0.07482891,29201738,2018-06-16,0-20 cm,29201738,7.3,7.97,15.31,10.2,8,< LOD,1,189.8,,,1.1,2.1,ES,ES6,ES61,ES618,37.40839424,-5.826902789,14-06-18,100,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.06852467,0.0,-0.043869242,-0.027303517,29361700,2018-06-16,0-20 cm,29361700,7.4,7.73,17.04,12.7,166,15.1,1.4,832.3,,,,,ES,ES6,ES61,ES618,37.10095991,-5.573066277,11-06-18,174,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.06176736,0.18800068,0.0,-0.0058976864,29641894,2018-06-26,0-20 cm,29641894,4.9,5.97,3.65,8.1,,14.6,0.8,105.9,,,,,ES,ES4,ES43,ES431,38.87189415,-5.66203901,22-06-18,401,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
